Places,Latitude,Longitude
Galle Fort,6.02662175,80.21768858
"Galle Fort Lighthouse	",6.0245483,80.21937329
Jungle Beach,6.0119744,80.2391711
Japanese Peace Pagoda,6.0158561,80.23790922
Galle Fort Clock Tower,6.02662175,80.21768858
Unawatuna Beach,6.0098759,80.2490429
"Sea Turtle Hatchery Centre, Mahamodara",6.0417067,80.2013241
Dutch Reformed Church,6.0281645,80.21712683
National Museum of Galle,6.02892585,80.21697408
"Koggala Turtle Hatchery	",5.9937218,80.3041182
Galle International Cricket Stadium,6.0315534,80.2160445
"National Maritime Museum Galle	",6.028155,80.21842588
"Old Dutch Market	",5.94786005,80.53508809
Flag Rock,6.02370625,80.21755095
"Dutch Hospital Shopping Precinct	",6.0268677,80.2194762
Hikkaduwa Beach,6.1383981,80.0995163
"Historical Mansion Museum, Galle",6.0265776,80.21862858
Meeran Jumma Masjid,6.0246306,80.21869878
Old Gate,6.0282409,80.2184744
Dalawella Beach,5.9952685,80.2880749
Talpe Beach,6.02861135,80.21700105
Martin Wickramasinghe House & Folk Museum,5.9889841,80.3274941
Whale Watching in Mirissa,5.9477618,80.4519634
"Koggala Lake	",6.00241025,80.33201437
Ahungalla Beach,6.292881,80.0385311
Induruwa Beach,6.38530455,80.00812246
"Shri Sudharmalaya Buddhist Temple	",6.0283524,80.2186348
Beach Park Galle Municipal Council,6.0295569,80.2174781
Mahamodara Beach Park Marine Walk,6.0401813,80.2003036
The Great wall of lovers galle,6.040096,80.2000542
New Marine Walk Galle Sea sight,6.032076,80.218786
The Galle Fort Art Gallery,6.0257254,80.2188348
Pradeep Pencil Art Gallary,6.057723,80.224748
